ssp,time,tas,ensemble,model
ssp370,2037,13.011909,NEX,ACCESS-ESM1-5
ssp370,2038,13.898933,NEX,ACCESS-ESM1-5
ssp370,2039,13.60104,NEX,ACCESS-ESM1-5
ssp370,2040,13.45138,NEX,ACCESS-ESM1-5
ssp370,2041,13.484225,NEX,ACCESS-ESM1-5
ssp370,2042,14.5865755,NEX,ACCESS-ESM1-5
ssp370,2043,14.440197,NEX,ACCESS-ESM1-5
ssp370,2044,13.953613,NEX,ACCESS-ESM1-5
ssp370,2045,12.837921,NEX,ACCESS-ESM1-5
ssp370,2046,14.266224,NEX,ACCESS-ESM1-5
ssp370,2047,14.0413685,NEX,ACCESS-ESM1-5
ssp370,2048,14.575633,NEX,ACCESS-ESM1-5
ssp370,2049,14.394201,NEX,ACCESS-ESM1-5
ssp370,2050,15.512289,NEX,ACCESS-ESM1-5
ssp370,2051,14.096185,NEX,ACCESS-ESM1-5
ssp370,2052,14.854279,NEX,ACCESS-ESM1-5
ssp370,2053,14.674578,NEX,ACCESS-ESM1-5
ssp370,2054,14.890764,NEX,ACCESS-ESM1-5
ssp370,2055,15.215279,NEX,ACCESS-ESM1-5
ssp370,2056,15.202429,NEX,ACCESS-ESM1-5
ssp370,2057,15.5140705,NEX,ACCESS-ESM1-5
ssp370,2058,14.468984,NEX,ACCESS-ESM1-5
ssp370,2059,15.580191,NEX,ACCESS-ESM1-5
ssp370,2060,15.473365,NEX,ACCESS-ESM1-5
ssp370,2061,14.091243,NEX,ACCESS-ESM1-5
ssp370,2062,15.242377,NEX,ACCESS-ESM1-5
ssp370,2063,15.2015295,NEX,ACCESS-ESM1-5
ssp370,2064,15.2630005,NEX,ACCESS-ESM1-5
ssp370,2065,14.8766165,NEX,ACCESS-ESM1-5
ssp370,2066,16.374348,NEX,ACCESS-ESM1-5
ssp370,2067,15.5572195,NEX,ACCESS-ESM1-5
ssp370,2068,14.732361,NEX,ACCESS-ESM1-5
ssp370,2069,16.230265,NEX,ACCESS-ESM1-5
ssp370,2070,15.025838,NEX,ACCESS-ESM1-5
ssp370,2071,15.678141,NEX,ACCESS-ESM1-5
ssp370,2072,17.17494,NEX,ACCESS-ESM1-5
ssp370,2073,16.300531,NEX,ACCESS-ESM1-5
ssp370,2074,15.51628,NEX,ACCESS-ESM1-5
ssp370,2075,14.35322,NEX,ACCESS-ESM1-5
